Protein Id,Id,Gene Symbol,Description
sp|P47955|RLA1_MOUSE,252,Rplp1,RLA1_MOUSE 60S acidic ribosomal protein P1
sp|Q9WTM5|RUVB2_MOUSE,253,Ruvbl2,RUVB2_MOUSE RuvB-like 2
tr|Q8VCG1|Q8VCG1_MOUSE,254,Dut,"Q8VCG1_MOUSE Deoxyuridine triphosphatase, isoform CRA_b"
sp|Q80UM7|MOGS_MOUSE,255,Mogs,MOGS_MOUSE Mannosyl-oligosaccharide glucosidase
sp|P46638|RB11B_MOUSE,256,Rab11b,RB11B_MOUSE Ras-related protein Rab-11B
sp|P62492|RB11A_MOUSE,257,Rab11a,RB11A_MOUSE Ras-related protein Rab-11A
sp|Q9WTL2|RAB25_MOUSE,258,Rab25,RAB25_MOUSE Ras-related protein Rab-25
sp|P40201|CHD1_MOUSE,259,Chd1,CHD1_MOUSE Chromodomain-helicase-DNA-binding protein 1
sp|E9PZM4|CHD2_MOUSE,260,Chd2,CHD2_MOUSE Chromodomain-helicase-DNA-binding protein 2
sp|Q64324|STXB2_MOUSE,261,Stxbp2,STXB2_MOUSE Syntaxin-binding protein 2
sp|P50580|PA2G4_MOUSE,262,Pa2g4,PA2G4_MOUSE Proliferation-associated protein 2G4
sp|P80314|TCPB_MOUSE,263,Cct2,TCPB_MOUSE T-complex protein 1 subunit beta
sp|Q99N57|RAF1_MOUSE,264,Raf1,RAF1_MOUSE RAF proto-oncogene serine/threonine-protein kinase
sp|P04627|ARAF_MOUSE,265,Araf,ARAF_MOUSE Serine/threonine-protein kinase A-Raf
sp|P28028|BRAF_MOUSE,266,Braf,BRAF_MOUSE Serine/threonine-protein kinase B-raf
sp|Q9CR57|RL14_MOUSE,267,Rpl14,RL14_MOUSE 60S ribosomal protein L14
sp|Q6ZQH8|NU188_MOUSE,268,Nup188,NU188_MOUSE Nucleoporin NUP188 homolog
sp|O70400|PDLI1_MOUSE,269,Pdlim1,PDLI1_MOUSE PDZ and LIM domain protein 1
sp|Q3UKJ7|SMU1_MOUSE,270,Smu1,SMU1_MOUSE WD40 repeat-containing protein SMU1
sp|P56959|FUS_MOUSE,271,Fus,FUS_MOUSE RNA-binding protein FUS
tr|Q8BQ46|Q8BQ46_MOUSE,272,Taf15,Q8BQ46_MOUSE Protein Taf15
sp|Q8BWQ6|CP062_MOUSE,273,,CP062_MOUSE UPF0505 protein C16orf62 homolog
sp|Q80XI3|IF4G3_MOUSE,274,Eif4g3,IF4G3_MOUSE Eukaryotic translation initiation factor 4 gamma 3
sp|Q6NZJ6|IF4G1_MOUSE,275,Eif4g1,IF4G1_MOUSE Eukaryotic translation initiation factor 4 gamma 1
sp|Q6NZJ6-2|IF4G1_MOUSE,276,Eif4g1,IF4G1_MOUSE Isoform 2 of Eukaryotic translation initiation factor 4 gamma 1
sp|Q62130|PTN14_MOUSE,277,Ptpn14,PTN14_MOUSE Tyrosine-protein phosphatase non-receptor type 14
sp|Q8CIG8|ANM5_MOUSE,278,Prmt5,ANM5_MOUSE Protein arginine N-methyltransferase 5
sp|Q99MI1|RB6I2_MOUSE,279,Erc1,RB6I2_MOUSE ELKS/Rab6-interacting/CAST family member 1
sp|Q8BYY4|TT39B_MOUSE,280,Ttc39b,TT39B_MOUSE Tetratricopeptide repeat protein 39B
tr|I7HPW8|I7HPW8_MOUSE,281,Myo15b,I7HPW8_MOUSE Protein Myo15b (Fragment)
sp|Q8BP40|PPA6_MOUSE,282,Acp6,PPA6_MOUSE Lysophosphatidic acid phosphatase type 6
sp|Q9JIK5|DDX21_MOUSE,283,Ddx21,DDX21_MOUSE Nucleolar RNA helicase 2
sp|F8VQB6|MYO10_MOUSE,284,Myo10,MYO10_MOUSE Unconventional myosin-X
sp|P21271|MYO5B_MOUSE,285,Myo5b,MYO5B_MOUSE Unconventional myosin-Vb
sp|Q99104|MYO5A_MOUSE,286,Myo5a,MYO5A_MOUSE Unconventional myosin-Va
tr|E9Q1F5|E9Q1F5_MOUSE,287,Myo5c,E9Q1F5_MOUSE Protein Myo5c
sp|O35134|RPA1_MOUSE,288,Polr1a,RPA1_MOUSE DNA-directed RNA polymerase I subunit RPA1
sp|Q2KN98|CYTSA_MOUSE,289,Specc1l,CYTSA_MOUSE Cytospin-A
tr|E9PWE8|E9PWE8_MOUSE,290,Dpysl3,E9PWE8_MOUSE Dihydropyrimidinase-related protein 3
sp|O08553|DPYL2_MOUSE,291,Dpysl2,DPYL2_MOUSE Dihydropyrimidinase-related protein 2
sp|P97427|DPYL1_MOUSE,292,Crmp1,DPYL1_MOUSE Dihydropyrimidinase-related protein 1
sp|Q61205|PA1B3_MOUSE,293,Pafah1b3,PA1B3_MOUSE Platelet-activating factor acetylhydrolase IB subunit gamma
sp|Q9CPT0|B2L14_MOUSE,294,Bcl2l14,B2L14_MOUSE Apoptosis facilitator Bcl-2-like protein 14
sp|Q8BYM8|SYCM_MOUSE,295,Cars2,"SYCM_MOUSE Probable cysteine--tRNA ligase, mitochondrial"
sp|Q91Z53|GRHPR_MOUSE,296,Grhpr,GRHPR_MOUSE Glyoxylate reductase/hydroxypyruvate reductase
sp|Q99JF5|MVD1_MOUSE,297,Mvd,MVD1_MOUSE Diphosphomevalonate decarboxylase
sp|P22892|AP1G1_MOUSE,298,Ap1g1,AP1G1_MOUSE AP-1 complex subunit gamma-1
sp|O88512|AP1G2_MOUSE,299,Ap1g2,AP1G2_MOUSE AP-1 complex subunit gamma-like 2
sp|Q99KK2|NEUA_MOUSE,300,Cmas,NEUA_MOUSE N-acylneuraminate cytidylyltransferase
sp|Q3UIA2|RHG17_MOUSE,301,Arhgap17,RHG17_MOUSE Rho GTPase-activating protein 17
sp|Q8VCC1|PGDH_MOUSE,302,Hpgd,PGDH_MOUSE 15-hydroxyprostaglandin dehydrogenase [NAD(+)]
sp|Q8BVI4|DHPR_MOUSE,303,Qdpr,DHPR_MOUSE Dihydropteridine reductase
sp|Q8BWJ3|KPB2_MOUSE,304,Phka2,"KPB2_MOUSE Phosphorylase b kinase regulatory subunit alpha, liver isoform"
sp|P18826|KPB1_MOUSE,305,Phka1,"KPB1_MOUSE Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform"
tr|Q9CZN7|Q9CZN7_MOUSE,306,Shmt2,Q9CZN7_MOUSE Serine hydroxymethyltransferase
sp|P50431|GLYC_MOUSE,307,Shmt1,"GLYC_MOUSE Serine hydroxymethyltransferase, cytosolic"
sp|Q70IV5|SYNEM_MOUSE,308,Synm,SYNEM_MOUSE Synemin
sp|Q70IV5-2|SYNEM_MOUSE,309,Synm,SYNEM_MOUSE Isoform 2 of Synemin
sp|P28659|CELF1_MOUSE,310,Celf1,CELF1_MOUSE CUGBP Elav-like family member 1
sp|Q9Z0H4|CELF2_MOUSE,311,Celf2,CELF2_MOUSE CUGBP Elav-like family member 2
sp|Q80YR4|ZN598_MOUSE,312,Znf598,ZN598_MOUSE Zinc finger protein 598
sp|Q9DB15|RM12_MOUSE,313,Mrpl12,"RM12_MOUSE 39S ribosomal protein L12, mitochondrial"
tr|H7BWY8|H7BWY8_MOUSE,314,Tsr2,H7BWY8_MOUSE Pre-rRNA-processing protein TSR2 homolog
sp|P97496|SMRC1_MOUSE,315,Smarcc1,SMRC1_MOUSE SWI/SNF complex subunit SMARCC1
sp|Q6PDG5|SMRC2_MOUSE,316,Smarcc2,SMRC2_MOUSE SWI/SNF complex subunit SMARCC2
sp|Q8BYR1|TYW4_MOUSE,317,Lcmt2,TYW4_MOUSE tRNA wybutosine-synthesizing protein 4
sp|Q61035|SYHC_MOUSE,318,Hars,"SYHC_MOUSE Histidine--tRNA ligase, cytoplasmic"
sp|Q99KK9|SYHM_MOUSE,319,Hars2,"SYHM_MOUSE Probable histidine--tRNA ligase, mitochondrial"
sp|Q9DBR1|XRN2_MOUSE,320,Xrn2,XRN2_MOUSE 5'-3' exoribonuclease 2
sp|P19001|K1C19_MOUSE,321,Krt19,"K1C19_MOUSE Keratin, type I cytoskeletal 19"
sp|Q61781|K1C14_MOUSE,322,Krt14,"K1C14_MOUSE Keratin, type I cytoskeletal 14"
sp|Q61414|K1C15_MOUSE,323,Krt15,"K1C15_MOUSE Keratin, type I cytoskeletal 15"
sp|P08730|K1C13_MOUSE,324,Krt13,"K1C13_MOUSE Keratin, type I cytoskeletal 13"
sp|P13646|K1C13_HUMAN_contaminant,325,KRT13,"K1C13_HUMAN_contaminant Keratin, type I cytoskeletal 13"
sp|B1AQ75|KRT36_MOUSE,326,Krt36,"KRT36_MOUSE Keratin, type I cuticular Ha6"
sp|P05784|K1C18_MOUSE,327,Krt18,"K1C18_MOUSE Keratin, type I cytoskeletal 18"
sp|O76013|KRT36_HUMAN_contaminant,328,KRT36,"KRT36_HUMAN_contaminant Keratin, type I cuticular Ha6"
sp|Q9D312|K1C20_MOUSE,329,Krt20,"K1C20_MOUSE Keratin, type I cytoskeletal 20"
sp|P13645|K1C10_HUMAN_contaminant,330,KRT10,"K1C10_HUMAN_contaminant Keratin, type I cytoskeletal 10"
sp|P08727|K1C19_HUMAN_contaminant,331,KRT19,"K1C19_HUMAN_contaminant Keratin, type I cytoskeletal 19"
sp|P35527|K1C9_HUMAN_contaminant,332,KRT9,"K1C9_HUMAN_contaminant Keratin, type I cytoskeletal 9"
sp|Q6P4T2|U520_MOUSE,333,Snrnp200,U520_MOUSE U5 small nuclear ribonucleoprotein 200 kDa helicase
sp|Q9CYH2|F213A_MOUSE,334,Fam213a,F213A_MOUSE Redox-regulatory protein FAM213A
sp|P49710|HCLS1_MOUSE,335,Hcls1,HCLS1_MOUSE Hematopoietic lineage cell-specific protein
sp|Q6NSR8|PEPL1_MOUSE,336,Npepl1,PEPL1_MOUSE Probable aminopeptidase NPEPL1
sp|Q9D115|ZN706_MOUSE,337,Znf706,ZN706_MOUSE Zinc finger protein 706
sp|Q9CR29|CCD43_MOUSE,338,Ccdc43,CCD43_MOUSE Coiled-coil domain-containing protein 43
tr|B9EJR8|B9EJR8_MOUSE,339,Heatr2,B9EJR8_MOUSE HEAT repeat containing 2
sp|Q91YD9|WASL_MOUSE,340,Wasl,WASL_MOUSE Neural Wiskott-Aldrich syndrome protein
tr|E9PVA8|E9PVA8_MOUSE,341,Gcn1l1,E9PVA8_MOUSE Protein Gcn1l1
sp|O54784|DAPK3_MOUSE,342,Dapk3,DAPK3_MOUSE Death-associated protein kinase 3
sp|Q8VDF3|DAPK2_MOUSE,343,Dapk2,DAPK2_MOUSE Death-associated protein kinase 2
sp|Q6P9Q4|FHOD1_MOUSE,344,Fhod1,FHOD1_MOUSE FH1/FH2 domain-containing protein 1
sp|Q8CGC7|SYEP_MOUSE,345,Eprs,SYEP_MOUSE Bifunctional glutamate/proline--tRNA ligase
sp|A2AX52|CO6A4_MOUSE,346,Col6a4,CO6A4_MOUSE Collagen alpha-4(VI) chain
sp|Q80Y81|RNZ2_MOUSE,347,Elac2,RNZ2_MOUSE Zinc phosphodiesterase ELAC protein 2
sp|Q78T54|VMA21_MOUSE,348,Vma21,VMA21_MOUSE Vacuolar ATPase assembly integral membrane protein Vma21
tr|Q6PD28|Q6PD28_MOUSE,349,Ppp2r5b,Q6PD28_MOUSE Protein Ppp2r5b
sp|Q921F4|HNRLL_MOUSE,350,Hnrnpll,HNRLL_MOUSE Heterogeneous nuclear ribonucleoprotein L-like
sp|O88593|PGRP1_MOUSE,351,Pglyrp1,PGRP1_MOUSE Peptidoglycan recognition protein 1
sp|Q91YW3|DNJC3_MOUSE,352,Dnajc3,DNJC3_MOUSE DnaJ homolog subfamily C member 3
sp|P42859|HD_MOUSE,353,Htt,HD_MOUSE Huntingtin
sp|P62852|RS25_MOUSE,354,Rps25,RS25_MOUSE 40S ribosomal protein S25
sp|Q6PB66|LPPRC_MOUSE,355,Lrpprc,"LPPRC_MOUSE Leucine-rich PPR motif-containing protein, mitochondrial"
sp|Q4QRL3|CC88B_MOUSE,356,Ccdc88b,CC88B_MOUSE Coiled-coil domain-containing protein 88B
sp|Q8BTW9|PAK4_MOUSE,357,Pak4,PAK4_MOUSE Serine/threonine-protein kinase PAK 4
sp|Q8VBT9|ASPC1_MOUSE,358,Aspscr1,ASPC1_MOUSE Tether containing UBX domain for GLUT4
sp|Q3UDP0|WDR41_MOUSE,359,Wdr41,WDR41_MOUSE WD repeat-containing protein 41
sp|Q91ZX7|LRP1_MOUSE,360,Lrp1,LRP1_MOUSE Prolow-density lipoprotein receptor-related protein 1
sp|Q99JY0|ECHB_MOUSE,361,Hadhb,"ECHB_MOUSE Trifunctional enzyme subunit beta, mitochondrial"
sp|Q9EPK7|XPO7_MOUSE,362,Xpo7,XPO7_MOUSE Exportin-7
sp|P61202|CSN2_MOUSE,363,Cops2,CSN2_MOUSE COP9 signalosome complex subunit 2
sp|A2ACP1|TT39A_MOUSE,364,Ttc39a,TT39A_MOUSE Tetratricopeptide repeat protein 39A
sp|P51658|DHB2_MOUSE,365,Hsd17b2,DHB2_MOUSE Estradiol 17-beta-dehydrogenase 2
tr|Q68FG2|Q68FG2_MOUSE,366,Sptbn2,Q68FG2_MOUSE Protein Sptbn2
sp|Q62261|SPTB2_MOUSE,367,Sptbn1,"SPTB2_MOUSE Spectrin beta chain, non-erythrocytic 1"
sp|Q62261-2|SPTB2_MOUSE,368,Sptbn1,"SPTB2_MOUSE Isoform 2 of Spectrin beta chain, non-erythrocytic 1"
sp|P15508|SPTB1_MOUSE,369,Sptb,"SPTB1_MOUSE Spectrin beta chain, erythrocytic"
sp|P57780|ACTN4_MOUSE,370,Actn4,ACTN4_MOUSE Alpha-actinin-4
sp|Q9JI91|ACTN2_MOUSE,371,Actn2,ACTN2_MOUSE Alpha-actinin-2
tr|A1BN54|A1BN54_MOUSE,372,Actn1,A1BN54_MOUSE Alpha actinin 1a
tr|E9Q2W9|E9Q2W9_MOUSE,373,Actn4,E9Q2W9_MOUSE Alpha-actinin-4 (Fragment)
sp|Q7TPR4|ACTN1_MOUSE,374,Actn1,ACTN1_MOUSE Alpha-actinin-1
sp|Q6DVA0|LEMD2_MOUSE,375,Lemd2,LEMD2_MOUSE LEM domain-containing protein 2
sp|B2RR83|YTDC2_MOUSE,376,Ythdc2,YTDC2_MOUSE Probable ATP-dependent RNA helicase YTHDC2
sp|Q922F4|TBB6_MOUSE,377,Tubb6,TBB6_MOUSE Tubulin beta-6 chain
sp|P99024|TBB5_MOUSE,378,Tubb5,TBB5_MOUSE Tubulin beta-5 chain
sp|Q7TMM9|TBB2A_MOUSE,379,Tubb2a,TBB2A_MOUSE Tubulin beta-2A chain
sp|Q9CWF2|TBB2B_MOUSE,380,Tubb2b,TBB2B_MOUSE Tubulin beta-2B chain
sp|Q9ERD7|TBB3_MOUSE,381,Tubb3,TBB3_MOUSE Tubulin beta-3 chain
sp|P68372|TBB4B_MOUSE,382,Tubb4b,TBB4B_MOUSE Tubulin beta-4B chain
sp|Q9D6F9|TBB4A_MOUSE,383,Tubb4a,TBB4A_MOUSE Tubulin beta-4A chain
sp|P56695|WFS1_MOUSE,384,Wfs1,WFS1_MOUSE Wolframin
tr|E9Q474|E9Q474_MOUSE,385,Akap13,E9Q474_MOUSE Protein Akap13
sp|Q80Z96|VANG1_MOUSE,386,Vangl1,VANG1_MOUSE Vang-like protein 1
sp|Q9Z110-2|P5CS_MOUSE,387,Aldh18a1,P5CS_MOUSE Isoform Short of Delta-1-pyrroline-5-carboxylate synthase
sp|Q9JL62|GLTP_MOUSE,388,Gltp,GLTP_MOUSE Glycolipid transfer protein
sp|Q8R3I3|COG6_MOUSE,389,Cog6,COG6_MOUSE Conserved oligomeric Golgi complex subunit 6
sp|Q8VCY6|UTP6_MOUSE,390,Utp6,UTP6_MOUSE U3 small nucleolar RNA-associated protein 6 homolog
sp|O70133|DHX9_MOUSE,391,Dhx9,DHX9_MOUSE ATP-dependent RNA helicase A
tr|E9QNN1|E9QNN1_MOUSE,392,Dhx9,E9QNN1_MOUSE ATP-dependent RNA helicase A
sp|Q02248|CTNB1_MOUSE,393,Ctnnb1,CTNB1_MOUSE Catenin beta-1
sp|Q02257|PLAK_MOUSE,394,Jup,PLAK_MOUSE Junction plakoglobin
sp|Q8BU33|ILVBL_MOUSE,395,Ilvbl,ILVBL_MOUSE Acetolactate synthase-like protein
tr|E9PUQ7|E9PUQ7_MOUSE,396,Trmt2a,E9PUQ7_MOUSE tRNA (uracil-5-)-methyltransferase homolog A
sp|O35643|AP1B1_MOUSE,397,Ap1b1,AP1B1_MOUSE AP-1 complex subunit beta-1
sp|Q9DBG3|AP2B1_MOUSE,398,Ap2b1,AP2B1_MOUSE AP-2 complex subunit beta
sp|P19096|FAS_MOUSE,399,Fasn,FAS_MOUSE Fatty acid synthase
sp|Q8K3G9|DP13B_MOUSE,400,Appl2,DP13B_MOUSE DCC-interacting protein 13-beta
sp|P51791|CLCN3_MOUSE,401,Clcn3,CLCN3_MOUSE H(+)/Cl(-) exchange transporter 3
sp|Q61418|CLCN4_MOUSE,402,Clcn4,CLCN4_MOUSE H(+)/Cl(-) exchange transporter 4
sp|Q91ZJ9|HYAL1_MOUSE,403,Hyal1,HYAL1_MOUSE Hyaluronidase-1
sp|Q6PDN3|MYLK_MOUSE,404,Mylk,"MYLK_MOUSE Myosin light chain kinase, smooth muscle"
sp|Q9WTU6|MK09_MOUSE,405,Mapk9,MK09_MOUSE Mitogen-activated protein kinase 9
tr|A6P3E4|A6P3E4_MOUSE,406,Mapk8,A6P3E4_MOUSE JNK1 beta1 protein kinase
sp|Q9Z1B7|MK13_MOUSE,407,Mapk13,MK13_MOUSE Mitogen-activated protein kinase 13
sp|O08911|MK12_MOUSE,408,Mapk12,MK12_MOUSE Mitogen-activated protein kinase 12
sp|P47811|MK14_MOUSE,409,Mapk14,MK14_MOUSE Mitogen-activated protein kinase 14
sp|Q8C0L8|COG5_MOUSE,410,Cog5,COG5_MOUSE Conserved oligomeric Golgi complex subunit 5
sp|Q9CZJ2|HS12B_MOUSE,411,Hspa12b,HS12B_MOUSE Heat shock 70 kDa protein 12B
sp|Q8K0U4|HS12A_MOUSE,412,Hspa12a,HS12A_MOUSE Heat shock 70 kDa protein 12A
sp|P97499|TEP1_MOUSE,413,Tep1,TEP1_MOUSE Telomerase protein component 1
sp|Q9D7B1|DUS2L_MOUSE,414,Dus2,DUS2L_MOUSE tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
sp|Q6P542|ABCF1_MOUSE,415,Abcf1,ABCF1_MOUSE ATP-binding cassette sub-family F member 1
sp|Q9JKS5|HABP4_MOUSE,416,Habp4,HABP4_MOUSE Intracellular hyaluronan-binding protein 4
sp|Q8BWT1|THIM_MOUSE,417,Acaa2,"THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial"
sp|Q9DCE5|PK1IP_MOUSE,418,Pak1ip1,PK1IP_MOUSE p21-activated protein kinase-interacting protein 1
sp|Q04736|YES_MOUSE,419,Yes1,YES_MOUSE Tyrosine-protein kinase Yes
sp|P05480|SRC_MOUSE,420,Src,SRC_MOUSE Neuronal proto-oncogene tyrosine-protein kinase Src
sp|P14234|FGR_MOUSE,421,Fgr,FGR_MOUSE Tyrosine-protein kinase Fgr
sp|Q99J95|CDK9_MOUSE,422,Cdk9,CDK9_MOUSE Cyclin-dependent kinase 9
sp|P11440|CDK1_MOUSE,423,Cdk1,CDK1_MOUSE Cyclin-dependent kinase 1
sp|P97377|CDK2_MOUSE,424,Cdk2,CDK2_MOUSE Cyclin-dependent kinase 2
sp|P30285|CDK4_MOUSE,425,Cdk4,CDK4_MOUSE Cyclin-dependent kinase 4
sp|Q69ZA1|CDK13_MOUSE,426,Cdk13,CDK13_MOUSE Cyclin-dependent kinase 13
sp|Q14AX6|CDK12_MOUSE,427,Cdk12,CDK12_MOUSE Cyclin-dependent kinase 12
sp|P49615|CDK5_MOUSE,428,Cdk5,CDK5_MOUSE Cyclin-dependent kinase 5
sp|P08103|HCK_MOUSE,429,Hck,HCK_MOUSE Tyrosine-protein kinase HCK
sp|P25911-2|LYN_MOUSE,430,Lyn,LYN_MOUSE Isoform 2 of Tyrosine-protein kinase Lyn
sp|Q64261|CDK6_MOUSE,431,Cdk6,CDK6_MOUSE Cyclin-dependent kinase 6
sp|Q62190|RON_MOUSE,432,Mst1r,RON_MOUSE Macrophage-stimulating protein receptor
sp|P16056|MET_MOUSE,433,Met,MET_MOUSE Hepatocyte growth factor receptor
sp|Q8BZ03|KPCD2_MOUSE,434,Prkd2,KPCD2_MOUSE Serine/threonine-protein kinase D2
sp|Q04899|CDK18_MOUSE,435,Cdk18,CDK18_MOUSE Cyclin-dependent kinase 18
sp|Q8K0D0|CDK17_MOUSE,436,Cdk17,CDK17_MOUSE Cyclin-dependent kinase 17
sp|Q04735|CDK16_MOUSE,437,Cdk16,CDK16_MOUSE Cyclin-dependent kinase 16
sp|Q3TZA2|CDKL4_MOUSE,438,Cdkl4,CDKL4_MOUSE Cyclin-dependent kinase-like 4
sp|Q62101|KPCD1_MOUSE,439,Prkd1,KPCD1_MOUSE Serine/threonine-protein kinase D1
sp|P06240|LCK_MOUSE,440,Lck,LCK_MOUSE Proto-oncogene tyrosine-protein kinase LCK
sp|P16277|BLK_MOUSE,441,Blk,BLK_MOUSE Tyrosine-protein kinase Blk
sp|Q922K9|FRK_MOUSE,442,Frk,FRK_MOUSE Tyrosine-protein kinase FRK
sp|Q78JE5|FBX22_MOUSE,443,Fbxo22,FBX22_MOUSE F-box only protein 22
tr|D3Z2G9|D3Z2G9_MOUSE,444,Fbxo22,D3Z2G9_MOUSE F-box only protein 22 (Fragment)
sp|Q8BN21|VRK2_MOUSE,445,Vrk2,VRK2_MOUSE Serine/threonine-protein kinase VRK2
sp|Q9WVF7|DPOE1_MOUSE,446,Pole,DPOE1_MOUSE DNA polymerase epsilon catalytic subunit A
sp|Q9D0M3|CY1_MOUSE,447,Cyc1,"CY1_MOUSE Cytochrome c1, heme protein, mitochondrial"
sp|P97770|THUM3_MOUSE,448,Thumpd3,THUM3_MOUSE THUMP domain-containing protein 3
sp|Q61112|CAB45_MOUSE,449,Sdf4,CAB45_MOUSE 45 kDa calcium-binding protein
tr|F7A6H4|F7A6H4_MOUSE,450,Rnf213,F7A6H4_MOUSE E3 ubiquitin-protein ligase RNF213
sp|Q9JKR6|HYOU1_MOUSE,451,Hyou1,HYOU1_MOUSE Hypoxia up-regulated protein 1
sp|Q8CJ00|NOXA1_MOUSE,452,Noxa1,NOXA1_MOUSE NADPH oxidase activator 1
sp|Q99KH8|STK24_MOUSE,453,Stk24,STK24_MOUSE Serine/threonine-protein kinase 24
sp|Q99JT2|MST4_MOUSE,454,Mst4,MST4_MOUSE Serine/threonine-protein kinase MST4
sp|Q9Z2W1|STK25_MOUSE,455,Stk25,STK25_MOUSE Serine/threonine-protein kinase 25
sp|Q8VE18|SMG8_MOUSE,456,Smg8,SMG8_MOUSE Protein SMG8
sp|Q8BMF4|ODP2_MOUSE,457,Dlat,"ODP2_MOUSE Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
sp|E9Q634|MYO1E_MOUSE,458,Myo1e,MYO1E_MOUSE Unconventional myosin-Ie
tr|Q8CG29|Q8CG29_MOUSE,459,Myo1f,Q8CG29_MOUSE Myosin IF
sp|Q9JIX8|ACINU_MOUSE,460,Acin1,ACINU_MOUSE Apoptotic chromatin condensation inducer in the nucleus
sp|Q8R3N6|THOC1_MOUSE,461,Thoc1,THOC1_MOUSE THO complex subunit 1
sp|Q9QZR0|RNF25_MOUSE,462,Rnf25,RNF25_MOUSE E3 ubiquitin-protein ligase RNF25
sp|Q9D8S3|ARFG3_MOUSE,463,Arfgap3,ARFG3_MOUSE ADP-ribosylation factor GTPase-activating protein 3
sp|Q9D819|IPYR_MOUSE,464,Ppa1,IPYR_MOUSE Inorganic pyrophosphatase
sp|Q9Z120|TRMB_MOUSE,465,Mettl1,TRMB_MOUSE tRNA (guanine-N(7)-)-methyltransferase
sp|O89020|AFAM_MOUSE,466,Afm,AFAM_MOUSE Afamin
sp|D3YXK1|SAMD1_MOUSE,467,Samd1,SAMD1_MOUSE Atherin
sp|Q8BHZ4|ZN592_MOUSE,468,Znf592,ZN592_MOUSE Zinc finger protein 592
sp|O54950|AAKG1_MOUSE,469,Prkag1,AAKG1_MOUSE 5'-AMP-activated protein kinase subunit gamma-1
sp|Q91WG5|AAKG2_MOUSE,470,Prkag2,AAKG2_MOUSE 5'-AMP-activated protein kinase subunit gamma-2
sp|Q8VCB2|MED25_MOUSE,471,Med25,MED25_MOUSE Mediator of RNA polymerase II transcription subunit 25
sp|Q02819|NUCB1_MOUSE,472,Nucb1,NUCB1_MOUSE Nucleobindin-1
sp|Q8VCC9|SPON1_MOUSE,473,Spon1,SPON1_MOUSE Spondin-1
sp|Q5SSI6|UTP18_MOUSE,474,Utp18,UTP18_MOUSE U3 small nucleolar RNA-associated protein 18 homolog
sp|Q9EPJ9|ARFG1_MOUSE,475,Arfgap1,ARFG1_MOUSE ADP-ribosylation factor GTPase-activating protein 1
sp|Q8VC30|DHAK_MOUSE,476,Dak,DHAK_MOUSE Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)
sp|P97801|SMN_MOUSE,477,Smn1,SMN_MOUSE Survival motor neuron protein
sp|P56873|SSA27_MOUSE,478,Sssca1,SSA27_MOUSE Sjoegren syndrome/scleroderma autoantigen 1 homolog
tr|E9Q6R7|E9Q6R7_MOUSE,479,Utrn,E9Q6R7_MOUSE Protein Utrn
sp|P11531|DMD_MOUSE,480,Dmd,DMD_MOUSE Dystrophin
sp|P70697|DCUP_MOUSE,481,Urod,DCUP_MOUSE Uroporphyrinogen decarboxylase
tr|A6ZI44|A6ZI44_MOUSE,482,Aldoa,A6ZI44_MOUSE Fructose-bisphosphate aldolase
sp|Q91Y97|ALDOB_MOUSE,483,Aldob,ALDOB_MOUSE Fructose-bisphosphate aldolase B
sp|P05063|ALDOC_MOUSE,484,Aldoc,ALDOC_MOUSE Fructose-bisphosphate aldolase C
sp|Q69ZK6|JHD2C_MOUSE,485,Jmjd1c,JHD2C_MOUSE Probable JmjC domain-containing histone demethylation protein 2C
sp|P59470|RPC2_MOUSE,486,Polr3b,RPC2_MOUSE DNA-directed RNA polymerase III subunit RPC2
sp|Q571H0|NPA1P_MOUSE,487,Urb1,NPA1P_MOUSE Nucleolar pre-ribosomal-associated protein 1
sp|Q8C181|MBNL2_MOUSE,488,Mbnl2,MBNL2_MOUSE Muscleblind-like protein 2
sp|Q9JKP5|MBNL1_MOUSE,489,Mbnl1,MBNL1_MOUSE Muscleblind-like protein 1
sp|Q8R003|MBNL3_MOUSE,490,Mbnl3,MBNL3_MOUSE Muscleblind-like protein 3
sp|Q921G7|ETFD_MOUSE,491,Etfdh,"ETFD_MOUSE Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"
sp|P62911|RL32_MOUSE,492,Rpl32,RL32_MOUSE 60S ribosomal protein L32
sp|O08528|HXK2_MOUSE,493,Hk2,HXK2_MOUSE Hexokinase-2
sp|P17710|HXK1_MOUSE,494,Hk1,HXK1_MOUSE Hexokinase-1
sp|Q3TRM8|HXK3_MOUSE,495,Hk3,HXK3_MOUSE Hexokinase-3
sp|Q8BJ34|MARF1_MOUSE,496,Marf1,MARF1_MOUSE Meiosis arrest female protein 1
sp|Q9NYQ2|HAOX2_MOUSE,497,Hao2,HAOX2_MOUSE Hydroxyacid oxidase 2
sp|Q8BYP3|RHOF_MOUSE,498,Rhof,RHOF_MOUSE Rho-related GTP-binding protein RhoF
sp|Q9D7B6|ACAD8_MOUSE,499,Acad8,"ACAD8_MOUSE Isobutyryl-CoA dehydrogenase, mitochondrial"
