Protein Id,Id,Gene Symbol,Description
sp|P51175|PPOX_MOUSE,233,Ppox,PPOX_MOUSE Protoporphyrinogen oxidase
sp|Q99NB9|SF3B1_MOUSE,234,Sf3b1,SF3B1_MOUSE Splicing factor 3B subunit 1
sp|O35206|COFA1_MOUSE,235,Col15a1,COFA1_MOUSE Collagen alpha-1(XV) chain
sp|Q9DB42|ZN593_MOUSE,236,Znf593,ZN593_MOUSE Zinc finger protein 593
sp|Q2EMV9|PAR14_MOUSE,237,Parp14,PAR14_MOUSE Poly [ADP-ribose] polymerase 14
sp|O70273|EHF_MOUSE,238,Ehf,EHF_MOUSE ETS homologous factor
sp|Q3UPW2|ELF3_MOUSE,239,Elf3,ELF3_MOUSE ETS-related transcription factor Elf-3
sp|Q6AW69|CGNL1_MOUSE,240,Cgnl1,CGNL1_MOUSE Cingulin-like protein 1
sp|Q80X90|FLNB_MOUSE,241,Flnb,FLNB_MOUSE Filamin-B
sp|Q8BTM8|FLNA_MOUSE,242,Flna,FLNA_MOUSE Filamin-A
sp|Q8VHX6|FLNC_MOUSE,243,Flnc,FLNC_MOUSE Filamin-C
sp|Q922B1|MACD1_MOUSE,244,Macrod1,MACD1_MOUSE O-acetyl-ADP-ribose deacetylase MACROD1
sp|Q9D773|RM02_MOUSE,245,Mrpl2,"RM02_MOUSE 39S ribosomal protein L2, mitochondrial"
sp|Q8K0V4|CNOT3_MOUSE,246,Cnot3,CNOT3_MOUSE CCR4-NOT transcription complex subunit 3
sp|P70168|IMB1_MOUSE,247,Kpnb1,IMB1_MOUSE Importin subunit beta-1
tr|Q921G9|Q921G9_MOUSE,248,Tjp3,Q921G9_MOUSE Tight junction protein 3
sp|Q9Z0U1|ZO2_MOUSE,249,Tjp2,ZO2_MOUSE Tight junction protein ZO-2
sp|Q8BWR8|RHPN2_MOUSE,250,Rhpn2,RHPN2_MOUSE Rhophilin-2
tr|E9PZ16|E9PZ16_MOUSE,251,Hspg2,E9PZ16_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein
